split,label,class_name,path
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/0182.png
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/picturesque-scenery-waterfall-flowing-through-260nw-2360180703.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/aiart.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/Spot-the-bot-v1.png
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/NeseDevenot_02.jpg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/mammoth.jpg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/iri-painting_wide-4ba5e79b58c77487cbcc07b6b406cb2d5dcdb73d.jpg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/26713309_web1_M-Rob-Schouten-edh-211007.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/zjgkiTBuW5pPg4P7rV8u_4x.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/history-of-AI-art.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/cafe-11-header.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/a-3-718x523.jpeg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/Robot_painting-1024x576.jpg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/images79.jpg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/paintings-by-el-greco-franz-marc-cezanne-bruegel.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/MIDJOURNEY.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/hero-image.fill.size_1248x702.v1623363981.png
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/images12.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/cute-furry-animal-ai-generated_970779-15.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/ai-art-beautiful-psychedelic-colored-angel-with-butterflies-2-rose-santuci-sofranko.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/HD-wallpaper-artwork-midjourney-ai-ai-generated-nature-landscape-mountains-resolution.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/flat750x075f-pad750x1000f8f8f8.u2.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/AI-and-Dreams-scaled.jpg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/210604151110-02-platon-nft-iris-series-restricted.jpg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/Monroe_Exotic_Animals_Texas4.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/Screen_Shot_2023-01-22_at_5.33.01_PM.png
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/Midjourney-guide-explained-how-to-use-370x490.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/file-20220421-24-mcdm2i.jpg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/natural-scenery-raphael-sanzio.jpg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/Africa-2.png
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/Dark-Side-of-the-Moon-AI.jpg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/scenery-4nho1u78dzvt1meo.jpg
train,0,AiArtData,/Users/yunsung5387/Downloads/ai images/AiArtData/AiArtData/Blogs.jpg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/bob-ross-white-mountain-many-sigs-detail1_1024x1024.jpg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/Fschl-Eric_TrumpMug.jpg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/pexels-photo-620337.jpeg
train,1,RealArt,/Users/yunsung5387/Downloads/ai images/RealArt/RealArt/2-23-3-4-20-14-31m.jpg
