split,label,class_name,path
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/4455 (7).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/4832 (7).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/5892 (3).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/3085 (8).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/3224 (9).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/2139 (5).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/4403 (8).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/4857 (6).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/4127 (10).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/3131.jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/2893.jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/0472 (10).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/2258 (8).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3342 (9).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/4179 (4).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3638 (2).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/0956 (3).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/3048 (6).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/4262 (3).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/5642 (8).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/2593 (3).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/0108 (10).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3486 (10).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/1478 (3).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/4199 (2).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3722 (9).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3050 (3).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/4085 (3).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/2450 (8).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/4400 (4).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/1303 (3).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/2229 (2).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/2301 (2).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/1927 (8).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/2784 (5).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3399 (8).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/2588 (2).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/5677 (5).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/4722 (9).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/0494 (10).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/0881 (4).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/4025 (4).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/5004 (8).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/4898 (6).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/4918.jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/2824 (4).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/0652 (10).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/4628.jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/3025 (2).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/5124 (4).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/0584 (7).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3967 (5).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/1570 (3).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/4575.jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/1116 (6).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/3445 (9).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/2307.jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/0398 (6).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3419 (9).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/2045 (7).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/5341 (8).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/1438 (10).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/4703 (4).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/2066 (5).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/1855 (10).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/2082 (9).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/1939 (6).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/0165 (7).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/4468 (2).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/0525 (6).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/1185 (10).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/5446 (2).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3644 (10).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/1618 (3).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/3526 (6).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/2033 (8).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/4577 (4).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/5611.jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/2407 (6).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/4087 (9).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/2228 (5).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/1550 (8).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/3890 (3).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/0948.jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/1345.jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/1540 (9).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3080 (5).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/3426 (3).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/4067 (8).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3621 (3).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/3387.jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3665 (10).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/1878 (5).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3523 (7).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/4011 (8).jpg
train,1,REAL,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/REAL/0948 (10).jpg
train,0,FAKE,/Users/yunsung5387/Documents/ai image distinguish/data/archive/train/FAKE/3320 (5).jpg
